incident_type,urgency,location_desc,details,hazards,people,hour,is_weekend,police,ambulance,bomba
Accident,1,"Street 146, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,0,0,1,2,0
Accident,4,"Street 223, near the Forest",General emergency reported,Unknown,Multiple bystanders,18,1,2,3,2
Other,3,"Street 495, near the City Center",General emergency reported,Unknown,Multiple bystanders,3,1,1,1,1
Crime,5,"Street 419, near the Residential Area",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,10,0,5,2,3
Crime,3,"Street 429, near the Forest",Break-in,Weapons sighted,Suspect and 2 witnesses,20,1,4,1,1
Crime,1,"Street 75, near the Highway",Break-in,None,Suspect and 2 witnesses,19,0,3,0,0
Fire,5,"Street 401, near the Residential Area",Small kitchen fire,Chemical smell,3 people evacuated,4,0,2,2,7
Fire,1,"Street 137, near the Industrial Zone",Building engulfed,Chemical smell,3 people evacuated,17,1,0,0,4
Other,1,"Street 334, near the Forest",General emergency reported,Unknown,Multiple bystanders,15,0,0,0,0
Medical,2,"Street 373, near the City Center",Allergic reaction,None,1 person involved,22,0,0,3,1
Medical,5,"Street 266, near the Industrial Zone",Cardiac arrest,None,1 person involved,6,1,2,4,3
Medical,3,"Street 491, near the Industrial Zone",Unconscious person,None,1 person involved,1,1,1,3,1
Other,4,"Street 57, near the Highway",General emergency reported,Unknown,Multiple bystanders,18,1,1,2,2
Fire,1,"Street 36, near the Forest",Small kitchen fire,Explosion risk,3 people evacuated,3,0,0,0,4
Other,2,"Street 348, near the Highway",General emergency reported,Unknown,Multiple bystanders,22,1,0,1,1
Other,1,"Street 43, near the City Center",General emergency reported,Unknown,Multiple bystanders,1,0,0,0,0
Fire,3,"Street 83, near the Industrial Zone",Small kitchen fire,Chemical smell,2 people evacuated,10,0,1,1,5
Other,4,"Street 274, near the Forest",General emergency reported,Unknown,Multiple bystanders,1,0,1,2,2
Accident,1,"Street 30, near the City Center",General emergency reported,Unknown,Multiple bystanders,17,1,1,2,0
Accident,5,"Street 265, near the Forest",General emergency reported,Unknown,Multiple bystanders,5,1,3,4,3
Crime,1,"Street 119, near the Residential Area",Public disturbance,Weapons sighted,Suspect and 1 witnesses,21,0,3,0,0
Fire,3,"Street 451, near the Residential Area",Small kitchen fire,Thick smoke,7 people evacuated,0,1,1,1,5
Accident,3,"Street 171, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,17,0,2,3,1
Other,1,"Street 443, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,0,0,0,0,0
